09/12/2022,COSTCO WHOLESAL     ,42.33,,4960.68,Variable,Maison
09/12/2022,LG111 TFR-DE 6478799,,42.33,5003.01,Ignoree,
09/12/2022,Envoi - VFC ***aTF  ,110.00,,4893.01,Fixe,Allocations filles
09/12/2022,Envoi - VFC ***nzs  ,110.00,,4783.01,Fixe,Allocations filles
09/12/2022,PMT PRET   329658601,1238.13,,3544.88,Ignoree,Hypotheque
09/12/2022,RR005 TFR-DE 6070557,,11.05,3555.93,Ignoree,
09/12/2022,SAAQ-IMMATRI K6Q4W9 ,224.64,,3331.29,Fixe,Immatriculations
09/12/2022,TD Ins/TD Assur  ASS,68.32,,3262.97,Fixe,Assurance Habitation/Auto
09/12/2022,TD Ins/TD Assur  ASS,80.45,,3182.52,Fixe,Assurance Habitation/Auto
09/12/2022,BQE DE MONTREAL PRET,377.71,,2804.81,Fixe,Pret Auto
09/13/2022,GWL 1115759      ASS,39.24,,2765.57,Fixe,Assurance Invalidite
09/13/2022,VERSEMENT PRET  PRET,670.46,,2095.11,Fixe,Pret Auto
09/15/2022,Envoi - VFC ***d2u  ,75.00,,2020.11,Fixe,Epargne
09/15/2022,HP371 TFR-DE 6478799,,1585.00,3605.11,Ignoree,
09/16/2022,SONIC        W5L2U7 ,103.43,,3501.68,Fixe,Propane
09/19/2022,Envoi - VFC ***6MX  ,110.00,,3391.68,Fixe,Allocations filles
09/19/2022,Envoi - VFC ***aJN  ,110.00,,3281.68,Fixe,Allocations filles
09/19/2022,VIDEOTRON LTEE   FAC,306.29,,2975.39,Fixe,Videotron
09/19/2022,CHQ#00088-3140481317,130.00,,2845.39,Fixe,Menage
09/22/2022,Envoi - VFC ***yfQ  ,75.00,,2770.39,Fixe,Epargne
09/22/2022,II261 TFR-DE 6478799,,1831.00,4601.39,Ignoree,
09/26/2022,Envoi - VFC ***CdP  ,110.00,,4491.39,Fixe,Allocations filles
09/26/2022,Envoi - VFC ***Wkz  ,110.00,,4381.39,Fixe,Allocations filles
09/26/2022,HYDROSOLUTN  JA#017 ,17.01,,4364.38,Fixe,Chauffe eau
09/26/2022,PMT PRET   329658601,1238.13,,3126.25,Ignoree,Hypotheque
09/27/2022,WU161 TFR-DE 6478799,,1831.00,4957.25,Ignoree,
09/28/2022,Envoi - VFC ***9XJ  ,339.18,,4618.07,Variable,Maison
09/28/2022,Envoi - VFC ***Ryf  ,372.00,,4246.07,Variable,Maison
09/28/2022,HYDRO-QUEBEC     FAC,434.04,,3812.03,Fixe,Hydro
09/29/2022,FRAIS MENSUEL COMPTE,16.95,,3795.08,Fixe,Frais bancaires
10/03/2022,Envoi - VFC ***6bQ  ,75.00,,3720.08,Fixe,Epargne
10/03/2022,Envoi - VFC ***pyU  ,85.00,,3635.08,Fixe,Allocations filles
10/03/2022,Envoi - VFC ***Hwm  ,110.00,,3525.08,Fixe,Allocations filles
10/03/2022,SANI SPORT  PRE  DIV,150.00,,3375.08,Fixe,Sports
10/04/2022,CHQ#00089-1145257044,130.00,,3245.08,Fixe,Menage
10/05/2022,TD Ins/TD Assur  ASS,226.41,,3018.67,Fixe,Assurance Habitation/Auto
10/06/2022,HN212 TFR-DE 6478799,,1831.00,4849.67,Ignoree,
10/06/2022,HN223 TFR-DE 6478799,,339.18,5188.85,Ignoree,
10/06/2022,HN243 TFR-DE 6478799,,335.00,5523.85,Ignoree,
10/06/2022,Envoi - VFC ***nJp  ,333.43,,5190.42,Variable,Maison
10/06/2022,Envoi - VFC ***Pk9  ,75.00,,5115.42,Fixe,Epargne
10/06/2022,CANVIE-ING       ASS,68.39,,5047.03,Fixe,Assurance Vie
10/11/2022,Envoi - VFC ***MHy  ,110.00,,4937.03,Fixe,Allocations filles
10/11/2022,Envoi - VFC ***fzt  ,85.00,,4852.03,Fixe,Allocations filles
10/11/2022,PMT PRET   329658601,1238.13,,3613.90,Ignoree,Hypotheque
10/12/2022,HU031 TFR-DE 6478799,,1831.00,5444.90,Ignoree,
10/12/2022,BQE DE MONTREAL PRET,377.71,,5067.19,Fixe,Pret Auto
10/13/2022,GWL 1115759      ASS,39.24,,5027.95,Fixe,Assurance Invalidite
10/13/2022,TD Ins/TD Assur  ASS,68.32,,4959.63,Fixe,Assurance Habitation/Auto
10/13/2022,TD Ins/TD Assur  ASS,80.45,,4879.18,Fixe,Assurance Habitation/Auto
10/13/2022,VERSEMENT PRET  PRET,670.46,,4208.72,Fixe,Pret Auto
10/14/2022,CHQ#00090-1140147330,130.00,,4078.72,Fixe,Menage
10/17/2022,UNIV LAVAL   U6W6Z5 ,2086.49,,1992.23,Fixe,Ecole
